Zakres (number);Operator (ID);Operator (nazwa);Data modyfikacji
45(7-8);99990;Rezerwa Prezesa UKE;2022-03-24 12:15
450(3,5-9);99990;Rezerwa Prezesa UKE;2022-03-02 12:15
4500;92;P4 Sp. z o.o.;2016-08-25 12:15
4501;92;P4 Sp. z o.o.;2021-01-31 12:15
4502(0,2-9);99990;Rezerwa Prezesa UKE;2021-10-19 12:15
45021;13050;4RE Sp. z o.o.;2021-10-19 12:15
4504(0,3-4,6-9);99990;Rezerwa Prezesa UKE;2024-02-28 12:45
4504(1,2);12041;Mobiledata Sp. z o.o.;2024-02-28 12:45
45045;66;Galena Sp. z o.o.;2022-03-02 12:15
451(0,1);1;Orange Polska S.A.;2020-10-01 12:15
451(3,7-9);99990;Rezerwa Prezesa UKE;2021-12-21 12:15
451(5,6);1;Orange Polska S.A.;2021-12-21 12:15
4512;1;Orange Polska S.A.;2021-10-30 12:15
4514(2-4,6-9);99990;Rezerwa Prezesa UKE;2020-04-25 12:15
45140;4408;P4 Sp. z o.o. (d. 3S S.A.);2020-04-25 12:15
45141;1900;Politechnika £ódzka Uczelniane Centrum Informatyczne;2020-02-08 12:15
45145;12857;VCOM Polska Sp. z o.o.;2021-03-19 12:15
452;1;Orange Polska S.A.;2021-12-21 12:15
453;1;Orange Polska S.A.;2022-03-04 12:15
454(0-4);1;Orange Polska S.A.;2022-03-24 12:15
454(5-9);1;Orange Polska S.A.;2022-10-08 12:20
455(0-3,6-9);99990;Rezerwa Prezesa UKE;2020-10-30 12:15
4554(1-3,6-9);99990;Rezerwa Prezesa UKE;2021-12-09 12:15
4554(4,0);4078;Telestrada S.A.;2021-12-09 12:15
45545;9990;CLAUDE ICT POLAND Sp. Z o.o.;2020-05-21 12:15
4555(1-4,6-9);99990;Rezerwa Prezesa UKE;2023-05-27 12:45
45550;4078;Telestrada S.A.;2023-05-27 12:45
45555;12839;Pomagacz Sp. Z o.o.;2020-10-30 12:15
456(0-3,5-6,8-9);99990;Rezerwa Prezesa UKE;2022-11-04 12:35
4564(1-4,6-9);99990;Rezerwa Prezesa UKE;2023-09-06 12:45
45640;4078;Telestrada S.A.;2023-09-06 12:45
45645;9990;CLAUDE ICT POLAND Sp. Z o.o.;2022-11-04 12:35
4567(0-7);99990;Rezerwa Prezesa UKE;2023-09-27 12:45
45678;6297;CANAL+ POLSKA S.A.;2023-09-27 12:45
45679;6297;CANAL+ POLSKA S.A.;2023-09-27 12:45
4590(0-4);6297;CANAL+ POLSKA S.A.;2017-11-10 12:15
4590(6,7);12041;Mobiledata Sp. z o.o.;2020-05-19 12:15
45905;12207;Next Mobile Sp. z o.o.;2019-01-12 12:15
