Strefa (AB);Zakres (number);Operator (nazwa);Operator (ID);Strefa (nazwa);Strefa (symbol);Obszar numeracyjny;Data modyfikacji
12;12(5,7);Rezerwa regulacyjna;99991;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;121(0,1-8);Rezerwa regulacyjna;99991;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:44
12;1219;Rezerwa techniczna;99992;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;122(3,4);Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;1220(5-9);Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2021-06-22 12:15
12;12200(0,1,3,6,8);Orange Polska S.A.;1;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;122002;Aiton Caldwell S.A.;8085;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;122004;F.U.H. AG-NET Joanna M¹czeñska;8768;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;122005;Belgacom International Carrier Services SA/NV;12051;KRAKÓW;SN-KR;CA£A SN;2017-07-12 12:15
12;122007;ITEL Solutions Sp. z o.o.;11274;KRAKÓW;SN-KR;CA£A SN;2022-08-05 12:15
12;122009;Colt Technology Services GmbH;12380;KRAKÓW;SN-KR;CA£A SN;2022-12-02 12:45
12;12201;Netia S.A.;6;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12202(1,2);Orange Polska S.A.;1;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12202(3,4);Telestrada S.A.;4078;KRAKÓW;SN-KR;CA£A SN;2016-04-20 12:15
12;12202(5-9);Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;122020;TOYA Sp. z o.o.;127;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12203(0,3-4,6-9);Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2023-12-06 12:45
12;12203(2,5);T-MOBILE POLSKA S.A.;4;KRAKÓW;SN-KR;CA£A SN;2023-12-06 12:45
12;122031;LoVo Sp. z o.o. Spó³ka komandytowa;10664;KRAKÓW;SN-KR;CA£A SN;2020-07-04 12:15
12;12204(0,2-9);Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2021-06-22 12:15
12;122041;MEDIDESK Sp. z o.o.;12669;KRAKÓW;SN-KR;CA£A SN;2021-06-22 12:15
12;1221(4-9);Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2015-07-20 12:45
12;12210(3-9);Rezerwa Prezesa UKE;99990;KRAKÓW;SN-KR;CA£A SN;2020-04-09 12:15
